election_name,election_year,district,state,tier,election_result,notes
TX - 35th Judicial District - 2016,2016,TX - 35th Judicial District,TX,,,
TX - 369th Judicial District - 2014,2014,TX - 369th Judicial District,TX,,,
TX - 369th Judicial District - 2018,2018,TX - 369th Judicial District,TX,,,
TX - 36th Judicial District - 2014,2014,TX - 36th Judicial District,TX,,,
TX - 36th Judicial District - 2018,2018,TX - 36th Judicial District,TX,,,
TX - 38th Judicial District - 2012,2012,TX - 38th Judicial District,TX,,,
TX - 38th Judicial District - 2016,2016,TX - 38th Judicial District,TX,,,
TX - 39th Judicial District - 2012,2012,TX - 39th Judicial District,TX,,,
TX - 39th Judicial District - 2016,2016,TX - 39th Judicial District,TX,,,
TX - 42nd Judicial District - 2012,2012,TX - 42nd Judicial District,TX,,,
TX - 42nd Judicial District - 2016,2016,TX - 42nd Judicial District,TX,,,
TX - 43rd Judicial District - 2012,2012,TX - 43rd Judicial District,TX,,,
TX - 43rd Judicial District - 2016,2016,TX - 43rd Judicial District,TX,,,
TX - 452nd Judicial District - 2014,2014,TX - 452nd Judicial District,TX,,,
TX - 452nd Judicial District - 2018,2018,TX - 452nd Judicial District,TX,,,
TX - 46th Judicial District - 2012,2012,TX - 46th Judicial District,TX,,,
TX - 46th Judicial District - 2016,2016,TX - 46th Judicial District,TX,,,
TX - 47th Judicial District - 2012,2012,TX - 47th Judicial District,TX,,,
TX - 47th Judicial District - 2016,2016,TX - 47th Judicial District,TX,,,
TX - 49th Judicial District - 2012,2012,TX - 49th Judicial District,TX,,,
TX - 49th Judicial District - 2016,2016,TX - 49th Judicial District,TX,,,
TX - 50th Judicial District - 2012,2012,TX - 50th Judicial District,TX,,,
TX - 50th Judicial District - 2016,2016,TX - 50th Judicial District,TX,,,
TX - 51st Judicial District - 2012,2012,TX - 51st Judicial District,TX,,,
TX - 51st Judicial District - 2016,2016,TX - 51st Judicial District,TX,,,
TX - 52nd Judicial District - 2012,2012,TX - 52nd Judicial District,TX,,,
TX - 52nd Judicial District - 2016,2016,TX - 52nd Judicial District,TX,,,
TX - 53rd Judicial District - 2012,2012,TX - 53rd Judicial District,TX,,,
TX - 53rd Judicial District - 2016,2016,TX - 53rd Judicial District,TX,,,
TX - 63rd Judicial District - 2012,2012,TX - 63rd Judicial District,TX,,,
TX - 63rd Judicial District - 2016,2016,TX - 63rd Judicial District,TX,,,
TX - 64th Judicial District - 2012,2012,TX - 64th Judicial District,TX,,,
TX - 64th Judicial District - 2016,2016,TX - 64th Judicial District,TX,,,
TX - 66th Judicial District - 2012,2012,TX - 66th Judicial District,TX,,,
TX - 66th Judicial District - 2016,2016,TX - 66th Judicial District,TX,,,
TX - 69th Judicial District - 2012,2012,TX - 69th Judicial District,TX,,,
TX - 69th Judicial District - 2016,2016,TX - 69th Judicial District,TX,,,
TX - 70th Judicial District - 2012,2012,TX - 70th Judicial District,TX,,,
TX - 70th Judicial District - 2016,2016,TX - 70th Judicial District,TX,,,
TX - 76th Judicial District - 2012,2012,TX - 76th Judicial District,TX,,,
TX - 76th Judicial District - 2016,2016,TX - 76th Judicial District,TX,,,
TX - 79th Judicial District - 2012,2012,TX - 79th Judicial District,TX,,,
TX - 79th Judicial District - 2016,2016,TX - 79th Judicial District,TX,,,
TX - 81st Judicial District - 2012,2012,TX - 81st Judicial District,TX,,,
TX - 81st Judicial District - 2016,2016,TX - 81st Judicial District,TX,,,
TX - 83rd Judicial District - 2012,2012,TX - 83rd Judicial District,TX,,,
TX - 83rd Judicial District - 2016,2016,TX - 83rd Judicial District,TX,,,
TX - 84th Judicial District - 2012,2012,TX - 84th Judicial District,TX,,,
TX - 84th Judicial District - 2016,2016,TX - 84th Judicial District,TX,,,
TX - 85th Judicial District - 2012,2012,TX - 85th Judicial District,TX,,,
TX - 85th Judicial District - 2016,2016,TX - 85th Judicial District,TX,,,
TX - 88th Judicial District - 2012,2012,TX - 88th Judicial District,TX,,,
TX - 88th Judicial District - 2016,2016,TX - 88th Judicial District,TX,,,
TX - 8th Judicial District - 2012,2012,TX - 8th Judicial District,TX,,,
TX - 8th Judicial District - 2016,2016,TX - 8th Judicial District,TX,,,
TX - 90th Judicial District - 2012,2012,TX - 90th Judicial District,TX,,,
TX - 90th Judicial District - 2016,2016,TX - 90th Judicial District,TX,,,
TX - 97th Judicial District - 2012,2012,TX - 97th Judicial District,TX,,,
TX - 97th Judicial District - 2016,2016,TX - 97th Judicial District,TX,,,
TX - 9th Judicial District - 2012,2012,TX - 9th Judicial District,TX,,,
TX - 9th Judicial District - 2016,2016,TX - 9th Judicial District,TX,,,
TX - Anderson - 2014,2014,TX - Anderson,TX,,,
TX - Anderson - 2018,2018,TX - Anderson,TX,,,
TX - Andrews - 2012,2012,TX - Andrews,TX,,,
TX - Andrews - 2016,2016,TX - Andrews,TX,,,
TX - Aransas - 2014,2014,TX - Aransas,TX,,,
TX - Aransas - 2018,2018,TX - Aransas,TX,,,
TX - Austin - 2014,2014,TX - Austin,TX,,,
TX - Austin - 2018,2018,TX - Austin,TX,,,
TX - Bastrop - 2014,2014,TX - Bastrop,TX,,,
TX - Bastrop - 2018,2018,TX - Bastrop,TX,,,
TX - Bexar - 2014,2014,TX - Bexar,TX,,,
TX - Bexar - 2018,2018,TX - Bexar,TX,,,
TX - Bowie - 2014,2014,TX - Bowie,TX,,,
TX - Bowie - 2018,2018,TX - Bowie,TX,,,
TX - Brazoria - 2014,2014,TX - Brazoria,TX,,,
TX - Brazoria - 2018,2018,TX - Brazoria,TX,,,
TX - Caldwell - 2014,2014,TX - Caldwell,TX,,,
TX - Caldwell - 2018,2018,TX - Caldwell,TX,,,
TX - Calhoun - 2014,2014,TX - Calhoun,TX,,,
TX - Calhoun - 2018,2018,TX - Calhoun,TX,,,
TX - Callahan - 2012,2012,TX - Callahan,TX,,,
TX - Callahan - 2016,2016,TX - Callahan,TX,,,
TX - Cameron - 2012,2012,TX - Cameron,TX,,,
TX - Cameron - 2016,2016,TX - Cameron,TX,,,
TX - Cass - 2014,2014,TX - Cass,TX,,,
TX - Cass - 2018,2018,TX - Cass,TX,,,
TX - Castro - 2012,2012,TX - Castro,TX,,,
TX - Castro - 2016,2016,TX - Castro,TX,,,
TX - Collin - 2014,2014,TX - Collin,TX,,,
TX - Collin - 2018,2018,TX - Collin,TX,,,
TX - Colorado - 2012,2012,TX - Colorado,TX,,,
TX - Colorado - 2016,2016,TX - Colorado,TX,,,
TX - Crosby - 2012,2012,TX - Crosby,TX,,,
TX - Crosby - 2016,2016,TX - Crosby,TX,,,
TX - Dallas - 2014,2014,TX - Dallas,TX,,,
TX - Dallas - 2018,2018,TX - Dallas,TX,,,
TX - Deaf Smith - 2014,2014,TX - Deaf Smith,TX,,,
TX - Deaf Smith - 2018,2018,TX - Deaf Smith,TX,,,
TX - Denton - 2014,2014,TX - Denton,TX,,,
TX - Denton - 2018,2018,TX - Denton,TX,,,
TX - Eastland - 2014,2014,TX - Eastland ,TX,,,
TX - Eastland - 2018,2018,TX - Eastland ,TX,,,
TX - Ellis - 2012,2012,TX - Ellis,TX,,,
TX - Ellis - 2016,2016,TX - Ellis,TX,,,
TX - Falls - 2012,2012,TX - Falls,TX,,,
TX - Falls - 2016,2016,TX - Falls,TX,,,
TX - Fannin - 2012,2012,TX - Fannin,TX,,,
TX - Fannin - 2016,2016,TX - Fannin,TX,,,
TX - Fayette - 2012,2012,TX - Fayette,TX,,,
TX - Fayette - 2016,2016,TX - Fayette,TX,,,
TX - Fort Bend - 2014,2014,TX - Fort Bend,TX,,,
TX - Fort Bend - 2018,2018,TX - Fort Bend,TX,,,
TX - Freestone - 2012,2012,TX - Freestone,TX,,,
TX - Freestone - 2016,2016,TX - Freestone,TX,,,
TX - Galveston - 2014,2014,TX - Galveston,TX,,,
TX - Galveston - 2018,2018,TX - Galveston,TX,,,
TX - Glasscock - 2012,2012,TX - Glasscock,TX,,,
TX - Glasscock - 2016,2016,TX - Glasscock,TX,,,
TX - Gonzales - 2012,2012,TX - Gonzales,TX,,,
TX - Gonzales - 2016,2016,TX - Gonzales,TX,,,
TX - Grayson - 2012,2012,TX - Grayson,TX,,,
TX - Grayson - 2016,2016,TX - Grayson,TX,,,
TX - Gregg - 2014,2014,TX - Gregg,TX,,,
TX - Gregg - 2018,2018,TX - Gregg,TX,,,
TX - Harris - 2014,2014,TX - Harris ,TX,,,
TX - Harris - 2016,2016,TX - Harris ,TX,,,
TX - Harrison - 2014,2014,TX - Harrison ,TX,,,
TX - Harrison - 2018,2018,TX - Harrison ,TX,,,
TX - Hays - 2014,2014,TX - Hays,TX,,,
TX - Hays - 2018,2018,TX - Hays,TX,,,
TX - Hidalgo - 2014,2014,TX - Hidalgo,TX,,,
TX - Hidalgo - 2018,2018,TX - Hidalgo,TX,,,
TX - Jackson - 2014,2014,TX - Jackson,TX,,,
TX - Jackson - 2018,2018,TX - Jackson,TX,,,
TX - Jasper - 2014,2014,TX - Jasper,TX,,,
TX - Jasper - 2018,2018,TX - Jasper,TX,,,
TX - Jefferson - 2014,2014,TX - Jefferson,TX,,,
TX - Jefferson - 2018,2018,TX - Jefferson,TX,,,
TX - Kaufman - 2014,2014,TX - Kaufman,TX,,,
TX - Kaufman - 2018,2018,TX - Kaufman,TX,,,
TX - Kendall - 2012,2012,TX - Kendall,TX,,,
TX - Kendall - 2016,2016,TX - Kendall,TX,,,
TX - Kleberg and Kenedy - 2012,2012,TX - Kleberg and Kenedy,TX,,,"Kleberg is combined with part of Kenedy, reported as ""Kleberg and Kenedy"" in results"
TX - Kleberg and Kenedy - 2016,2016,TX - Kleberg and Kenedy,TX,,,"Kleberg is combined with part of Kenedy, reported as ""Kleberg and Kenedy"" in results"
TX - Lamar - 2012,2012,TX - Lamar,TX,,,
TX - Lamar - 2016,2016,TX - Lamar,TX,,,
TX - Lamb - 2012,2012,TX - Lamb,TX,,,
TX - Lamb - 2016,2016,TX - Lamb,TX,,,
TX - Lampasas - 2012,2012,TX - Lampasas,TX,,,
TX - Lampasas - 2016,2016,TX - Lampasas,TX,,,
TX - Lavaca - 2012,2012,TX - Lavaca,TX,,,
TX - Lavaca - 2016,2016,TX - Lavaca,TX,,,
TX - Lee - 2012,2012,TX - Lee,TX,,,
TX - Lee - 2016,2016,TX - Lee,TX,,,
TX - Limestone - 2012,2012,TX - Limestone,TX,,,
TX - Limestone - 2016,2016,TX - Limestone,TX,,,
TX - Lubbock - 2014,2014,TX - Lubbock,TX,,,
TX - Lubbock - 2018,2018,TX - Lubbock,TX,,,
TX - Madison - 2014,2014,TX - Madison,TX,,,
TX - Madison - 2018,2018,TX - Madison,TX,,,
TX - Marion - 2012,2012,TX - Marion,TX,,,
TX - Marion - 2016,2016,TX - Marion,TX,,,
TX - McLennan - 2014,2014,TX - McLennan,TX,,,
TX - McLennan - 2018,2018,TX - McLennan,TX,,,
TX - Milam - 2012,2012,TX - Milam,TX,,,
TX - Milam - 2016,2016,TX - Milam,TX,,,
TX - Morris - 2012,2012,TX - Morris,TX,,,
TX - Morris - 2016,2016,TX - Morris,TX,,,
TX - Navarro - 2014,2014,TX - Navarro,TX,,,
TX - Navarro - 2018,2018,TX - Navarro,TX,,,
TX - Newton - 2014,2014,TX - Newton,TX,,,
TX - Newton - 2018,2018,TX - Newton,TX,,,
TX - Ochiltree - 2012,2012,TX - Ochiltree,TX,,,
TX - Ochiltree - 2016,2016,TX - Ochiltree,TX,,,
TX - Oldham - 2012,2012,TX - Oldham,TX,,,
TX - Oldham - 2016,2016,TX - Oldham,TX,,,
TX - Orange - 2012,2012,TX - Orange,TX,,,
TX - Orange - 2016,2016,TX - Orange,TX,,,
TX - Panola - 2014,2014,TX - Panola,TX,,,
TX - Panola - 2018,2018,TX - Panola,TX,,,
TX - Pecos - 2012,2012,TX - Pecos,TX,,,Pecos is split into the 83rd and 112th Judicial Districts
TX - Pecos - 2016,2016,TX - Pecos,TX,,,Pecos is split into the 83rd and 112th Judicial Districts
TX - Polk - 2014,2014,TX - Polk,TX,,,
TX - Polk - 2018,2018,TX - Polk,TX,,,
TX - Rains - 2012,2012,TX - Rains,TX,,,
TX - Rains - 2016,2016,TX - Rains,TX,,,
TX - Randall - 2014,2014,TX - Randall,TX,,,
TX - Randall - 2018,2018,TX - Randall,TX,,,
TX - Red River - ,,TX - Red River,TX,,,
TX - Red River - 2016,2016,TX - Red River,TX,,,
TX - Robertson - 2012,2012,TX - Robertson,TX,,,
TX - Robertson - 2016,2016,TX - Robertson,TX,,,
TX - Rockwall - 2014,2014,TX - Rockwall,TX,,,
TX - Rockwall - 2018,2018,TX - Rockwall,TX,,,
TX - Rusk - 2012,2012,TX - Rusk,TX,,,
TX - Rusk - 2016,2016,TX - Rusk,TX,,,
TX - San Jacinto - 2014,2014,TX - San Jacinto,TX,,,
TX - San Jacinto - 2018,2018,TX - San Jacinto,TX,,,
TX - Smith - 2014,2014,TX - Smith,TX,,,
TX - Smith - 2018,2018,TX - Smith,TX,,,
TX - Somervell - 2012,2012,TX - Somervell,TX,,,
TX - Somervell - 2016,2016,TX - Somervell,TX,,,
TX - Swisher - 2012,2012,TX - Swisher,TX,,,
TX - Swisher - 2016,2016,TX - Swisher,TX,,,
TX - Tarrant - 2014,2014,TX - Tarrant,TX,,,
TX - Tarrant - 2018,2018,TX - Tarrant,TX,,,
TX - Taylor - 2012,2012,TX - Taylor,TX,,,
TX - Taylor - 2016,2016,TX - Taylor,TX,,,
TX - Terry - 2012,2012,TX - Terry,TX,,,
TX - Terry - 2016,2016,TX - Terry,TX,,,
TX - Tom Green - 2012,2012,TX - Tom Green,TX,,,"Split into 2 Judicial Districts, 51st and 119th"
TX - Tom Green - 2016,2016,TX - Tom Green,TX,,,"Split into 2 Judicial Districts, 51st and 119th"
TX - Tyler - 2014,2014,TX - Tyler,TX,,,
TX - Tyler - 2018,2018,TX - Tyler,TX,,,
TX - Upshur - 2014,2014,TX - Upshur,TX,,,
TX - Upshur - 2018,2018,TX - Upshur,TX,,,
TX - Van Zandt - 2014,2014,TX - Van Zandt,TX,,,
TX - Van Zandt - 2018,2018,TX - Van Zandt,TX,,,
TX - Victoria - 2014,2014,TX - Victoria,TX,,,
TX - Victoria - 2018,2018,TX - Victoria,TX,,,
TX - Walker - 2014,2014,TX - Walker,TX,,,
TX - Walker - 2018,2018,TX - Walker,TX,,,
TX - Waller - 2014,2014,TX - Waller,TX,,,
TX - Waller - 2018,2018,TX - Waller,TX,,,
TX - Wichita - 2014,2014,TX - Wichita,TX,,,
TX - Wichita - 2018,2018,TX - Wichita,TX,,,
TX - Willacy - 2012,2012,TX - Willacy,TX,,,
TX - Willacy - 2016,2016,TX - Willacy,TX,,,
TX - Wood - 2014,2014,TX - Wood,TX,,,
TX - Wood - 2018,2018,TX - Wood,TX,,,
TX - Yoakum - 2014,2014,TX - Yoakum,TX,,,
TX - Yoakum - 2018,2018,TX - Yoakum,TX,,,
UT - Beaver - 2014,2014,UT - Beaver,UT,,,
UT - Beaver - 2018,2018,UT - Beaver,UT,,,
UT - Box Elder - 2014,2014,UT - Box Elder,UT,,,
UT - Box Elder - 2018,2018,UT - Box Elder,UT,,,
UT - Cache - 2014,2014,UT - Cache,UT,,,
UT - Cache - 2018,2018,UT - Cache,UT,,,
UT - Carbon - 2014,2014,UT - Carbon,UT,,,
UT - Carbon - 2018,2018,UT - Carbon,UT,,,
UT - Daggett - 2018,2018,UT - Daggett,UT,,,
UT - Davis - 2014,2014,UT - Davis,UT,,,
UT - Davis - 2018,2018,UT - Davis,UT,,,
UT - Duchesne - 2014,2014,UT - Duchesne,UT,,,
UT - Duchesne - 2018,2018,UT - Duchesne,UT,,,
UT - Emery - 2014,2014,UT - Emery,UT,,,
UT - Emery - 2018,2018,UT - Emery,UT,,,
UT - Garfield - 2014,2014,UT - Garfield,UT,,,
UT - Garfield - 2018,2018,UT - Garfield,UT,,,
UT - Grand - 2014,2014,UT - Grand,UT,,,
UT - Grand - 2018,2018,UT - Grand,UT,,,
UT - Iron - 2014,2014,UT - Iron,UT,,,
UT - Iron - 2018,2018,UT - Iron,UT,,,
UT - Juab - 2014,2014,UT - Juab,UT,,,
UT - Juab - 2018,2018,UT - Juab,UT,,,
UT - Kane - 2014,2014,UT - Kane,UT,,,
UT - Kane - 2018,2018,UT - Kane,UT,,,
UT - Millard - 2014,2014,UT - Millard,UT,,,
UT - Millard - 2018,2018,UT - Millard,UT,,,
UT - Morgan - 2014,2014,UT - Morgan,UT,,,
UT - Morgan - 2018,2018,UT - Morgan,UT,,,
UT - Piute - 2014,2014,UT - Piute,UT,,,
UT - Piute - 2018,2018,UT - Piute,UT,,,
UT - Rich - 2018,2018,UT - Rich,UT,,,
UT - Salt Lake - 2014,2014,UT - Salt Lake,UT,,,
UT - Salt Lake - 2018,2018,UT - Salt Lake,UT,,,
UT - San Juan - 2014,2014,UT - San Juan,UT,,,
UT - San Juan - 2018,2018,UT - San Juan,UT,,,
UT - Sanpete - 2014,2014,UT - Sanpete,UT,,,
UT - Sanpete - 2018,2018,UT - Sanpete,UT,,,
UT - Sevier - 2014,2014,UT - Sevier,UT,,,
UT - Sevier - 2018,2018,UT - Sevier,UT,,,
UT - Summit - 2014,2014,UT - Summit,UT,,,
UT - Summit - 2018,2018,UT - Summit,UT,,,
UT - Tooele - 2018,2018,UT - Tooele,UT,,,
UT - Uintah - 2014,2014,UT - Uintah,UT,,,
UT - Uintah - 2018,2018,UT - Uintah,UT,,,
UT - Utah - 2014,2014,UT - Utah,UT,,,
UT - Utah - 2018,2018,UT - Utah,UT,,,
UT - Wasatch - 2014,2014,UT - Wasatch,UT,,,
UT - Wasatch - 2018,2018,UT - Wasatch,UT,,,
UT - Washington - 2014,2014,UT - Washington,UT,,,
UT - Washington - 2018,2018,UT - Washington,UT,,,
UT - Wayne - 2014,2014,UT - Wayne,UT,,,
UT - Wayne - 2018,2018,UT - Wayne,UT,,,
UT - Weber - 2014,2014,UT - Weber,UT,,,
UT - Weber - 2018,2018,UT - Weber,UT,,,
VA - Accomack - 2015,2015,VA - Accomack,VA,,,
VA - Accomack - 2019,2019,VA - Accomack,VA,,,
VA - Albemarle - 2015,2015,VA - Albemarle,VA,,,
VA - Albemarle - 2019,2019,VA - Albemarle,VA,,,
VA - Alexandria City - 2013,2013,VA - Alexandria City,VA,,,
VA - Alexandria City - 2017,2017,VA - Alexandria City,VA,,,
VA - Alleghany County - Covington City - 2015,2015,VA - Alleghany County - Covington City,VA,,,
VA - Alleghany County - Covington City - 2019,2019,VA - Alleghany County - Covington City,VA,,,
VA - Amelia - 2015,2015,VA - Amelia,VA,,,
VA - Amelia - 2019,2019,VA - Amelia,VA,,,
VA - Amherst - 2015,2015,VA - Amherst,VA,,,
VA - Amherst - 2019,2019,VA - Amherst,VA,,,
VA - Appomattox - 2015,2015,VA - Appomattox,VA,,,
VA - Appomattox - 2019,2019,VA - Appomattox,VA,,,
VA - Arlington County - Falls Church City - 2015,2015,VA - Arlington County - Falls Church City,VA,,,
VA - Arlington County - Falls Church City - 2019,2019,VA - Arlington County - Falls Church City,VA,,,
VA - Augusta - 2015,2015,VA - Augusta,VA,,,
VA - Augusta - 2019,2019,VA - Augusta,VA,,,
VA - Bath - 2015,2015,VA - Bath,VA,,,
VA - Bath - 2019,2019,VA - Bath,VA,,,
VA - Bedford - 2015,2015,VA - Bedford,VA,,,
VA - Bedford - 2016,2016,VA - Bedford,VA,,,Special election for unexpired term
VA - Bedford - 2019,2019,VA - Bedford,VA,,,
VA - Bland - 2015,2015,VA - Bland,VA,,,
VA - Bland - 2019,2019,VA - Bland,VA,,,
VA - Botetourt - 2015,2015,VA - Botetourt,VA,,,
VA - Botetourt - 2019,2019,VA - Botetourt,VA,,,
VA - Bristol City - 2013,2013,VA - Bristol City,VA,,,
VA - Bristol City - 2017,2017,VA - Bristol City,VA,,,
VA - Brunswick - 2015,2015,VA - Brunswick,VA,,,
VA - Brunswick - 2019,2019,VA - Brunswick,VA,,,
VA - Buchanan - 2015,2015,VA - Buchanan,VA,,,
VA - Buchanan - 2019,2019,VA - Buchanan,VA,,,
VA - Buckingham - 2015,2015,VA - Buckingham,VA,,,
VA - Buckingham - 2019,2019,VA - Buckingham,VA,,,
VA - Buena Vista City - 2013,2013,VA - Buena Vista City,VA,,,
VA - Buena Vista City - 2017,2017,VA - Buena Vista City,VA,,,
VA - Campbell - 2015,2015,VA - Campbell,VA,,,
VA - Campbell - 2019,2019,VA - Campbell,VA,,,
VA - Caroline - 2015,2015,VA - Caroline,VA,,,
VA - Caroline - 2019,2019,VA - Caroline,VA,,,
VA - Carroll County - Galax City (East) - 2015,2015,VA - Carroll County - Galax City (East),VA,,,
VA - Carroll County - Galax City (East) - 2019,2019,VA - Carroll County - Galax City (East),VA,,,
VA - Charles City - 2015,2015,VA - Charles City,VA,,,
VA - Charles City - 2019,2019,VA - Charles City,VA,,,
VA - Charlotte - 2015,2015,VA - Charlotte,VA,,,
VA - Charlotte - 2019,2019,VA - Charlotte,VA,,,
VA - Charlottesville City - 2013,2013,VA - Charlottesville City,VA,,,
VA - Charlottesville City - 2017,2017,VA - Charlottesville City,VA,,,
VA - Chesapeake City - 2013,2013,VA - Chesapeake City,VA,,,
VA - Chesapeake City - 2017,2017,VA - Chesapeake City,VA,,,
VA - Chesterfield - 2015,2015,VA - Chesterfield,VA,,,
VA - Chesterfield - 2019,2019,VA - Chesterfield,VA,,,
VA - Clarke - 2015,2015,VA - Clarke,VA,,,
VA - Clarke - 2019,2019,VA - Clarke,VA,,,
VA - Colonial Heights City - 2013,2013,VA - Colonial Heights City,VA,,,
VA - Colonial Heights City - 2017,2017,VA - Colonial Heights City,VA,,,
VA - Covington City - 2015,2015,VA - Alleghany County - Covington City,VA,,,
VA - Covington City - 2019,2019,VA - Alleghany County - Covington City,VA,,,
VA - Craig - 2015,2015,VA - Craig,VA,,,
VA - Craig - 2019,2019,VA - Craig,VA,,,
VA - Culpeper - 2015,2015,VA - Culpeper,VA,,,
VA - Culpeper - 2019,2019,VA - Culpeper,VA,,,
VA - Cumberland - 2015,2015,VA - Cumberland,VA,,,
VA - Cumberland - 2019,2019,VA - Cumberland,VA,,,
VA - Danville City - 2013,2013,VA - Danville City,VA,,,
VA - Danville City - 2017,2017,VA - Danville City,VA,,,
VA - Dickenson - 2015,2015,VA - Dickenson,VA,,,
VA - Dickenson - 2019,2019,VA - Dickenson,VA,,,
VA - Dinwiddie - 2015,2015,VA - Dinwiddie,VA,,,
VA - Dinwiddie - 2019,2019,VA - Dinwiddie,VA,,,
VA - Emporia City - Greensville County - 2015,2015,VA - Emporia City - Greensville County,VA,,,
VA - Emporia City - Greensville County - 2019,2019,VA - Emporia City - Greensville County,VA,,,
VA - Essex - 2015,2015,VA - Essex,VA,,,
VA - Essex - 2019,2019,VA - Essex,VA,,,
VA - Fairfax City - Fairfax County - 2015,2015,VA - Fairfax City - Fairfax County,VA,,,
VA - Fairfax City - Fairfax County - 2019,2019,VA - Fairfax City - Fairfax County,VA,,,
VA - Fauquier - 2015,2015,VA - Fauquier,VA,,,
VA - Fauquier - 2019,2019,VA - Fauquier,VA,,,
VA - Floyd - 2015,2015,VA - Floyd,VA,,,
VA - Floyd - 2019,2019,VA - Floyd,VA,,,
VA - Fluvanna - 2015,2015,VA - Fluvanna,VA,,,
VA - Fluvanna - 2019,2019,VA - Fluvanna,VA,,,
VA - Franklin - 2015,2015,VA - Franklin,VA,,,
VA - Franklin - 2019,2019,VA - Franklin,VA,,,
VA - Franklin City - Southampton County - 2015,2015,VA - Franklin City - Southampton County,VA,,,
VA - Franklin City - Southampton County - 2019,2019,VA - Franklin City - Southampton County,VA,,,
VA - Frederick County - 2015,2015,VA - Frederick County,VA,,,
VA - Frederick County - 2019,2019,VA - Frederick County,VA,,,
VA - Fredericksburg City - 2013,2013,VA - Fredericksburg City,VA,,,
VA - Fredericksburg City - 2017,2017,VA - Fredericksburg City,VA,,,
VA - Giles - 2015,2015,VA - Giles,VA,,,
VA - Giles - 2019,2019,VA - Giles,VA,,,
VA - Gloucester - 2015,2015,VA - Gloucester,VA,,,
VA - Gloucester - 2019,2019,VA - Gloucester,VA,,,
VA - Goochland - 2015,2015,VA - Goochland,VA,,,
VA - Goochland - 2019,2019,VA - Goochland,VA,,,
VA - Grayson County - Galax City (West) - 2015,2015,VA - Grayson County - Galax City (West),VA,,,
VA - Grayson County - Galax City (West) - 2019,2019,VA - Grayson County - Galax City (West),VA,,,
VA - Greene - 2015,2015,VA - Greene,VA,,,
VA - Greene - 2019,2019,VA - Greene,VA,,,
VA - Halifax - 2015,2015,VA - Halifax,VA,,,
VA - Halifax - 2019,2019,VA - Halifax,VA,,,
VA - Hampton City - 2013,2013,VA - Hampton City,VA,,,
VA - Hampton City - 2017,2017,VA - Hampton City,VA,,,
VA - Hanover - 2015,2015,VA - Hanover,VA,,,
VA - Hanover - 2019,2019,VA - Hanover,VA,,,
VA - Harrisonburg City - Rockingham County - 2015,2015,VA - Harrisonburg City - Rockingham County,VA,,,
VA - Harrisonburg City - Rockingham County - 2019,2019,VA - Harrisonburg City - Rockingham County,VA,,,
VA - Henrico - 2015,2015,VA - Henrico,VA,,,
VA - Henrico - 2019,2019,VA - Henrico,VA,,,
VA - Henry - 2015,2015,VA - Henry,VA,,,
VA - Henry - 2019,2019,VA - Henry,VA,,,
VA - Highland - 2015,2015,VA - Highland,VA,,,
VA - Highland - 2019,2019,VA - Highland,VA,,,
VA - Hopewell City - 2013,2013,VA - Hopewell City,VA,,,
VA - Hopewell City - 2017,2017,VA - Hopewell City,VA,,,
VA - Isle of Wight - 2015,2015,VA - Isle of Wight,VA,,,
VA - Isle of Wight - 2019,2019,VA - Isle of Wight,VA,,,
VA - James City County - Williamsburg - 2015,2015,VA - James City County - Williamsburg,VA,,,
VA - James City County - Williamsburg - 2019,2019,VA - James City County - Williamsburg,VA,,,
VA - King and Queen - 2015,2015,VA - King and Queen,VA,,,
VA - King and Queen - 2019,2019,VA - King and Queen,VA,,,
VA - King George - 2015,2015,VA - King George,VA,,,
VA - King George - 2019,2019,VA - King George,VA,,,
VA - King William - 2015,2015,VA - King William,VA,,,
VA - King William - 2019,2019,VA - King William,VA,,,
VA - Lancaster - 2015,2015,VA - Lancaster,VA,,,
VA - Lancaster - 2019,2019,VA - Lancaster,VA,,,
VA - Lee - 2015,2015,VA - Lee,VA,,,
VA - Lee - 2019,2019,VA - Lee,VA,,,
VA - Lexington City - Rockbridge County - 2015,2015,VA - Lexington City - Rockbridge County,VA,,,
VA - Lexington City - Rockbridge County - 2019,2019,VA - Lexington City - Rockbridge County,VA,,,
VA - Loudoun - 2015,2015,VA - Loudoun,VA,,,
VA - Loudoun - 2019,2019,VA - Loudoun,VA,,,
VA - Louisa - 2015,2015,VA - Louisa,VA,,,
VA - Louisa - 2019,2019,VA - Louisa,VA,,,
VA - Lunenburg - 2015,2015,VA - Lunenburg,VA,,,
VA - Lunenburg - 2019,2019,VA - Lunenburg,VA,,,
VA - Lynchburg City - 2015,2015,VA - Lynchburg City,VA,,,
VA - Lynchburg City - 2019,2019,VA - Lynchburg City,VA,,,
VA - Madison - 2015,2015,VA - Madison,VA,,,
VA - Madison - 2019,2019,VA - Madison,VA,,,
VA - Manassas - Manassas Park - Prince William - 2015,2015,VA - Manassas - Manassas Park - Prince William,VA,,,
VA - Manassas - Manassas Park - Prince William - 2019,2019,VA - Manassas - Manassas Park - Prince William,VA,,,
VA - Martinsville City - 2013,2013,VA - Martinsville City,VA,,,
VA - Martinsville City - 2017,2017,VA - Martinsville City,VA,,,
VA - Mathews - 2015,2015,VA - Mathews,VA,,,
VA - Mathews - 2019,2019,VA - Mathews,VA,,,
VA - Mecklenburg - 2015,2015,VA - Mecklenburg,VA,,,
