district_id,district_short,state,job_title,population,percent_aa,percent_latino,percent_obama,primary_election_date,general_election_date,next_filing_date,election_result,notes
AR - 17th District,17th District,AR,Prosecuting Attorney,86896,5.28,3.91,22.40,,2018-05-01,2018-01-01,http://results.enr.clarityelections.com/AR/51266/133405/en/summary.html,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 18th District East,18th District East,AR,Prosecuting Attorney,97322,8.50,5.30,33.90,2016-03-01,2016-03-01,2015-11-09,,nonpartisan election for prosecuting attorney as part of primary election on March 1 2016
AR - 18th District West,18th District West,AR,Prosecuting Attorney,29307,0.53,5.53,22.20,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 19th District East,19th District East,AR,Prosecuting Attorney,27744,0.80,14.60,36.30,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 19th District West,19th District West,AR,Prosecuting Attorney,242321,1.90,16.20,28.60,,2018-05-01,2018-01-01,http://results.enr.clarityelections.com/AR/51266/133405/en/summary.html,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 1st District,1st District,AR,Prosecuting Attorney,88408,45.99,2.70,53.90,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 20th District,20th District,AR,Prosecuting Attorney,145548,9.45,3.88,31.60,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 21st District,21st District,AR,Prosecuting Attorney,61697,1.60,6.70,23.70,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 22nd District,22nd District,AR,Prosecuting Attorney,115719,6.60,4.20,27.30,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 23rd District,23rd District,AR,Prosecuting Attorney,71557,6.20,4.00,23.30,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 2nd District,2nd District,AR,Prosecuting Attorney,279359,20.90,3.52,39.20,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 3rd District,3rd District,AR,Prosecuting Attorney,68942,5.15,2.06,25.30,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 4th District,4th District,AR,Prosecuting Attorney,236532,3.29,15.48,39.40,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 5th District,5th District,AR,Prosecuting Attorney,107011,2.55,8.74,27.50,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 6th District,6th District,AR,Prosecuting Attorney,402947,35.14,5.92,54.10,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 7th District,7th District,AR,Prosecuting Attorney,51512,8.50,3.05,29.90,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 8th District North,8th District North,AR,Prosecuting Attorney,31050,30.07,9.99,36.70,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 8th District South,8th District South,AR,Prosecuting Attorney,50539,26.79,2.95,31.20,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 9th District East,9th District East,AR,Prosecuting Attorney,22576,24.00,4.40,45.30,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AR - 9th District West,9th District West,AR,Prosecuting Attorney,54482,11.86,15.23,27.90,,2018-05-01,2018-01-01,http://teapartycheer.com/arkansas/arkansas-candidates/arkansas-2014/ar-2014-prosecuting-attorney/,Filing deadline in November. May is final election for Prosecuting Attorneys in AR; exact date unknown.
AZ - Apache,Apache,AZ,County Attorney,71828,0.90,6.40,66.20,2016-08-30,2016-11-08,2016-06-01,http://results.enr.clarityelections.com/AZ/Apache/42052/125574/Web01/en/summary.html,
AZ - Cochise,Cochise,AZ,County Attorney,127448,4.70,34.60,37.70,2016-08-30,2016-11-08,2016-06-01,,
AZ - Coconino,Coconino,AZ,County Attorney,137682,1.60,13.90,56.30,2016-08-30,2016-11-08,2016-06-01,http://www.coconino.az.gov/DocumentCenter/View/2478,
AZ - Gila,Gila,AZ,County Attorney,53119,0.90,18.80,35.60,2016-08-30,2016-11-08,2016-06-01,http://results.enr.clarityelections.com/AZ/Gila/42055/124548/Web01/en/summary.html,
AZ - Graham,Graham,AZ,County Attorney,37957,2.10,32.10,30.30,2016-08-30,2016-11-08,2016-06-01,http://results.enr.clarityelections.com/AZ/Graham/42056/124549/Web01/en/summary.html,
AZ - Greenlee,Greenlee,AZ,County Attorney,9346,1.80,46.60,43.90,2016-08-30,2016-11-08,2016-06-01,http://co.greenlee.az.us/elections/reports/2012-11-06%202012%20General%20-%20Official%20Results.pdf,
AZ - La Paz,La Paz,AZ,County Attorney,20231,1.20,25.70,32.80,2016-08-30,2016-11-08,2016-06-01,http://www.parkerliveonline.com/2012/11/15/tony-rogers-wins-county-attorney-race/,
AZ - Maricopa,Maricopa,AZ,County Attorney,4087191,5.70,30.30,43.30,2016-08-30,2016-11-08,2016-06-01,http://recorder.maricopa.gov/electionresults/archivedelectionresults.aspx,
AZ - Mohave,Mohave,AZ,County Attorney,203361,1.30,15.80,37.80,2016-08-30,2016-11-08,2016-06-01,http://resources.mohavecounty.us/file/Elections/past/2012/2012%20General%20Official%20Results%20Summary.pdf,
AZ - Navajo,Navajo,AZ,County Attorney,108101,1.30,11.10,45.20,2016-08-30,2016-11-08,2016-06-01,http://www.navajocountyaz.gov/Portals/0/Departments/Elections/Documents/Results/2012/11062012OfficialResults.pdf,
AZ - Pima,Pima,AZ,County Attorney,1004516,4.10,36.10,52.50,2016-08-30,2016-11-08,2016-06-01,http://webcms.pima.gov/UserFiles/Servers/Server_6/File/Government/elections/Election%20Results/res1112.htm,
AZ - Pinal,Pinal,AZ,County Attorney,401918,4.90,29.20,40.80,2016-08-30,2016-11-08,2016-06-01,http://pinalcountyaz.gov/elections/Pages/ElectionResults.aspx,
AZ - Santa Cruz,Santa Cruz,AZ,County Attorney,46695,0.90,82.80,68.20,2016-08-30,2016-11-08,2016-06-01,http://results.enr.clarityelections.com/AZ/La_Paz/42058/125115/Web01/en/summary.html,
AZ - Yavapai,Yavapai,AZ,County Attorney,218844,0.90,14.20,33.70,2016-08-30,2016-11-08,2016-06-01,http://www.yavapai.us/electionsvr/elections-and-results/2012-elections/november-6-2012-general-election/,
AZ - Yuma,Yuma,AZ,County Attorney,203247,2.70,61.70,42.90,2016-08-30,2016-11-08,2016-06-01,http://www.yumacountyaz.gov/departments-and-services/election-services/election-results,
CA - Alameda,Alameda,CA,District Attorney,1610921,12.10,22.70,78.70,,2018-11-06,2018-01-01,http://www.acgov.org/rov/elections/20140603/,Filing deadline in March. 
CA - Alpine,Alpine,CA,District Attorney,1116,0.30,9.60,59.60,,2018-11-06,2018-01-01,http://www.alpinecountyca.gov/DocumentCenter/View/644,Filing deadline in March.
CA - Amador,Amador,CA,District Attorney,36742,2.10,13.00,38.70,,2018-11-06,2018-01-01,http://co.amador.ca.us/home/showdocument?id=18908,Filing deadline in March.
CA - Butte,Butte,CA,District Attorney,224241,1.80,15.50,47.00,,2018-11-06,2018-01-01,http://clerk-recorder.buttecounty.net/elections/archives/eln30/results_final-1.htm,Filing deadline in March.
CA - Calaveras,Calaveras,CA,District Attorney,44624,1.00,11.50,39.80,,2018-11-06,2018-01-01,http://www.uniondemocrat.com/News/Local-News/Yook-trounces-Singer-in-DA-race,Filing deadline in March.
CA - Colusa,Colusa,CA,District Attorney,21419,1.20,58.10,38.30,,2018-11-06,2018-01-01,http://williamspioneer.com/article/57818,Filing deadline in March.
CA - Contra Costa,Contra Costa,CA,District Attorney,1111339,9.60,25.20,66.40,,2018-11-06,2018-01-01,http://www.cocovote.us/elections-results/election-results/,Filing deadline in March.
