State,District,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes
AZ,Apache,,71828,0.9,6.4,66.2,County Attorney,Michael B. Whiting,,2012,U,D,C,M,,,,,,,,,,,A,2016,http://results.enr.clarityelections.com/AZ/Apache/42052/125574/Web01/en/summary.html,,
AZ,Cochise,,127448,4.7,34.6,37.7,County Attorney,Brian McIntyre,2014,appointed,,R,C,M,,,,,,,,,,,A,2016,,,
AZ,Coconino,,137682,1.6,13.9,56.3,County Attorney,David Rozema,2009,2012,U,D,C,M,,,,,,,,,,,A,2016,http://www.coconino.az.gov/DocumentCenter/View/2478,,
AZ,Gila,,53119,0.9,18.8,35.6,County Attorney,Bradley Beauchamp,2013,2012,U,R,C,M,,,,,,,,,,,N,2016,http://results.enr.clarityelections.com/AZ/Gila/42055/124548/Web01/en/summary.html,,
AZ,Graham,,37957,2.1,32.1,30.3,County Attorney,Kenneth Angle,,2012,U,R,C,M,,,,,,,,,,,N,2016,http://results.enr.clarityelections.com/AZ/Graham/42056/124549/Web01/en/summary.html,,
AZ,Greenlee,,9346,1.8,46.6,43.9,County Attorney,Derek Rapier,,2012,U,NP,C,M,,,,,,,,,,,A,2016,http://co.greenlee.az.us/elections/reports/2012-11-06%202012%20General%20-%20Official%20Results.pdf,,
AZ,La Paz,,20231,1.2,25.7,32.8,County Attorney,Tony Rogers,2013,2012,32,R,C,M,,,,,,,,,,,N,2016,http://www.parkerliveonline.com/2012/11/15/tony-rogers-wins-county-attorney-race/,,
AZ,Maricopa,,4087191,5.7,30.3,43.3,County Attorney,Bill Montgomery,2010,2012,72,R,C,M,running,,,,,,,Michael Kielsky,C,M,E,2016,http://recorder.maricopa.gov/electionresults/archivedelectionresults.aspx,,"current DA sued for refusing to assist same sex couples in adoption AND accused vet of being ""enemy"" for smoking medical pot: http://www.usatoday.com/story/news/nation/2015/04/16/aclu-threaten-to-sue-over-gay-adoption/25870701/    http://www.rawstory.com/2015/03/youre-an-enemy-arizona-county-attorney-tells-pot-smoking-veteran-hes-breaking-oath-to-uphold-constitution/"
AZ,Mohave,,203361,1.3,15.8,37.8,County Attorney,Matthew Smith,2003,2012,U,R,C,M,,,,,,,,,,,N,2016,http://resources.mohavecounty.us/file/Elections/past/2012/2012%20General%20Official%20Results%20Summary.pdf,,
AZ,Navajo,,108101,1.3,11.1,45.2,County Attorney,Brad Carlyon,2008,2012,U,D,C,M,,,,,,,,,,,N,2016,http://www.navajocountyaz.gov/Portals/0/Departments/Elections/Documents/Results/2012/11062012OfficialResults.pdf,,
AZ,Pima ,,1004516,4.1,36.1,52.5,County Attorney,Barbara LaWall,1996,2012,U,D,C,F,,,,,Joel Feinman,C,M,,,,A,2016,http://webcms.pima.gov/UserFiles/Servers/Server_6/File/Government/elections/Election%20Results/res1112.htm,,"seems to be a progressive, supported by gay rights groups http://www.gvnews.com/opinion/editorial-don-t-measure-justice-only-by-the-numbers/article_94090d28-cd1e-11e5-bfe3-6371715c2229.html"
AZ,Pinal ,,401918,4.9,29.2,40.8,County Attorney,Lando Voyles,2012,2012,52.1,R,C,M,,,,,,,,,,,E,2016,http://pinalcountyaz.gov/elections/Pages/ElectionResults.aspx,,
AZ,Santa Cruz,,46695,0.9,82.8,68.2,County Attorney,George Silva,,2012,U,D,H,M,,,,,,,,,,,A,2016,http://results.enr.clarityelections.com/AZ/La_Paz/42058/125115/Web01/en/summary.html,,
AZ,Yavapai,,218844,0.9,14.2,33.7,County Attorney,Sheila Polk,2001,2012,U,R,C,F,running,,,,,,,,,,N,2016,http://www.yavapai.us/electionsvr/elections-and-results/2012-elections/november-6-2012-general-election/,,
AZ,Yuma,,203247,2.7,61.7,42.9,County Attorney,Jon Smith,,2012,U,D,C,M,,,,,,,,,,,A,2016,http://www.yumacountyaz.gov/departments-and-services/election-services/election-results,,
CA,Alameda,,1610921,12.1,22.7,78.9,District Attorney,Nancy O'Malley,2009,2014,U,NP,C,F,,,,,,,,,,,,2018,http://www.acgov.org/rov/elections/20140603/,,
CA,Alpine,,1116,0.3,9.6,59.6,District Attorney,Karen Dustman,,2014,U,NP,C,F,,,,,,,,,,,,2018,http://www.alpinecountyca.gov/DocumentCenter/View/644,,
CA,Amador,,36742,2.1,13,38.7,District Attorney,Todd Riebe,2006,2014,U,NP,C,M,,,,,,,,,,,,2018,http://co.amador.ca.us/home/showdocument?id=18908,,
CA,Butte,,224241,1.8,15.5,47,District Attorney,Michael Ramsey,1987,2014,U,NP,C,M,,,,,,,,,,,,2018,http://clerk-recorder.buttecounty.net/elections/archives/eln30/results_final-1.htm,,
CA,Calaveras,,44624,1,11.5,39.8,District Attorney,Barbara Yook,2010,2014,65,NP,AA,F,,,,,,,,,,,,2018,http://www.uniondemocrat.com/News/Local-News/Yook-trounces-Singer-in-DA-race,,
CA,Colusa,,21419,1.2,58.1,38.3,District Attorney,John Poyner,,2014,U,NP,C,M,,,,,,,,,,,,2018,http://williamspioneer.com/article/57818,,
CA,Contra Costa,,1111339,9.6,25.2,66.4,District Attorney,Mark Peterson,2011,2014,U,NP,C,M,,,,,,,,,,,,2018,http://www.cocovote.us/elections-results/election-results/,,
CA,Del Norte,,27212,3.5,19,43.2,District Attorney,Dale Trigg,2014,2014,43.1,NP,C,M,,,,,,,,,,,,2018,https://docs.google.com/viewer?a=v&pid=sites&srcid=Y28uZGVsLW5vcnRlLmNhLnVzfGVsZWN0fGd4OjI4NTI1M2JkZjU0NmI5YWQ,,
CA,El Dorado,,183087,1,12.7,39.6,District Attorney,Vern Pierson,2007,2014,72,NP,C,M,,,,,,,,,,,,2018,http://elections.edcgov.us/results.fwx?election_id=95,,
CA,Fresno,,965974,5.9,51.9,49.9,District Attorney,Lisa Smittcamp,2015,2014,59.2,NP,C,F,,,,,,,,,,,,2018,http://www.co.fresno.ca.us/DepartmentPage.aspx?id=58163,,
CA,Glenn,,27955,1.2,40.4,35.8,District Attorney,Dwayne Stewart,2015,2014,60,NP,C,M,,,,,,,,,,,,2018,http://www.countyofglenn.net/govt/departments/elections/Statewide_Special_Election_Results.aspx,,
CA,Humboldt,,134809,1.4,10.8,60,District Attorney,Maggie Fleming,2015,2014,59.9,NP,C,F,,,,,,,,,,,,2018,http://www.humboldtgov.org/DocumentCenter/View/5344,,
CA,Imperial,,179091,3.5,82.3,65.2,District Attorney,Gilbert Otero,1994,2014,U,NP,H,M,,,,,,,,,,,,2018,http://www.co.imperial.ca.us/regvoters/index.asp?fileinc=res_prev,,
CA,Inyo,,18410,1,20.9,42.6,District Attorney,Tom Hardy,2013,2014,U,NP,C,M,,,,,,,,,,,,2018,https://drive.google.com/file/d/0B-ZjQkriwApdRjB4OWNfeF9jdEU/edit,,
CA,Kern ,,874589,6.3,51.5,40.4,District Attorney,Lisa Green,2010,2014,U,NP,C,F,,,,,,,,,,,,2018,http://elections.co.kern.ca.us/elections/SOVC/SOVC_June_3_2014_full.pdf,,
CA,Kings,,150269,7.3,53.2,41.3,District Attorney,Keith Fagundes,2015,2014,68.8,NP,H,M,,,,,,,,,,,,2018,http://www.countyofkings.com/home/showdocument?id=7075,,
