,"(Counties, if a District)",Population/Census 2014,Percent Pop AA,Percent Pop Hispanic,Obama Share by Vote (2012),Title,Name,First Year in office,Last Election Year,Percent Vote Last Election,Party Affiliation,Race,Gender,status of reelection,Republican candidates,Rep Race,Rep Gender ,Democratic candidates,Dem Race,Dem Gender,NP Candidate,NP Race,NP Gender,Category,Next Election,Past election result,,Special notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,,"filing deadline November 6th, 2015 for March 2016 primary",,,,"six year terms, last general election 2010",,,,,,,,,,,,,,,,,,,,,,,,Democrat Candidates: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-demparty-candidates_2015-12-18.pdf,,,,,,,,,,
,,allocation of counties to districts according to: http://www.alabamaprosecutor.com/DAList.aspx,,,,,,,,,,,,,,,,,,,,,,,,certified election results from November 2010,,,,,Republican candidates for 2016: http://www.alabamavotes.gov/downloads/election/2016/primary/statecert-repparty-candidates_2015-12-18_amended.pdf,,,,,,,,,
Coconino,,137682,1.6,13.9,56.3,County Attorney,David Rozema,2009,2012,U,D,C,M,,,,,,,,,,,A,2016,http://www.coconino.az.gov/DocumentCenter/View/2478,,,,,,,,,,,,,,
Gila,,53119,0.9,18.8,35.6,County Attorney,Bradley Beauchamp,2013,2012,U,R,C,M,,,,,,,,,,,N,2016,http://results.enr.clarityelections.com/AZ/Gila/42055/124548/Web01/en/summary.html,,,,,,,,,,,,,,
Graham,,37957,2.1,32.1,30.3,County Attorney,Kenneth Angle,,2012,U,R,C,M,,,,,,,,,,,N,2016,http://results.enr.clarityelections.com/AZ/Graham/42056/124549/Web01/en/summary.html,,,,,,,,,,,,,,
Greenlee,,9346,1.8,46.6,43.9,County Attorney,Derek Rapier,,2012,U,NP,C,M,,,,,,,,,,,A,2016,http://co.greenlee.az.us/elections/reports/2012-11-06%202012%20General%20-%20Official%20Results.pdf,,,,,,,,,,,,,,
La Paz,,20231,1.2,25.7,32.8,County Attorney,Tony Rogers,2013,2012,32,R,C,M,,,,,,,,,,,N,2016,http://www.parkerliveonline.com/2012/11/15/tony-rogers-wins-county-attorney-race/,,,,,,,,,,,,,,
Maricopa,,4087191,5.7,30.3,43.3,County Attorney,Bill Montgomery,2010,2012,72,R,C,M,running,,,,,,,Michael Kielsky,C,M,E,2016,http://recorder.maricopa.gov/electionresults/archivedelectionresults.aspx,,"current DA sued for refusing to assist same sex couples in adoption AND accused vet of being ""enemy"" for smoking medical pot: http://www.usatoday.com/story/news/nation/2015/04/16/aclu-threaten-to-sue-over-gay-adoption/25870701/    http://www.rawstory.com/2015/03/youre-an-enemy-arizona-county-attorney-tells-pot-smoking-veteran-hes-breaking-oath-to-uphold-constitution/",,,,,,,,,,,,
Mohave,,203361,1.3,15.8,37.8,County Attorney,Matthew Smith,2003,2012,U,R,C,M,,,,,,,,,,,N,2016,http://resources.mohavecounty.us/file/Elections/past/2012/2012%20General%20Official%20Results%20Summary.pdf,,,,,,,,,,,,,,
Navajo,,108101,1.3,11.1,45.2,County Attorney,Brad Carlyon,2008,2012,U,D,C,M,,,,,,,,,,,N,2016,http://www.navajocountyaz.gov/Portals/0/Departments/Elections/Documents/Results/2012/11062012OfficialResults.pdf,,,,,,,,,,,,,,
Pima ,,1004516,4.1,36.1,52.5,County Attorney,Barbara LaWall,1996,2012,U,D,C,F,,,,,Joel Feinman,C,M,,,,A,2016,http://webcms.pima.gov/UserFiles/Servers/Server_6/File/Government/elections/Election%20Results/res1112.htm,,"seems to be a progressive, supported by gay rights groups http://www.gvnews.com/opinion/editorial-don-t-measure-justice-only-by-the-numbers/article_94090d28-cd1e-11e5-bfe3-6371715c2229.html",,,,,,,,,,,,
Pinal ,,401918,4.9,29.2,40.8,County Attorney,Lando Voyles,2012,2012,52.1,R,C,M,,,,,,,,,,,E,2016,http://pinalcountyaz.gov/elections/Pages/ElectionResults.aspx,,,,,,,,,,,,,,
