,GEO_display-label
84230,"vermilion parish, louisiana"
84302,"vernon parish, louisiana"
84374,"washington parish, louisiana"
84446,"webster parish, louisiana"
84518,"west baton rouge parish, louisiana"
84590,"west carroll parish, louisiana"
84662,"west feliciana parish, louisiana"
84734,"winn parish, louisiana"
85022,"franklin county, maine"
85310,"lincoln county, maine"
85382,"oxford county, maine"
85526,"piscataquis county, maine"
85598,"sagadahoc county, maine"
85670,"somerset county, maine"
85742,"waldo county, maine"
85814,"washington county, maine"
86174,"calvert county, maryland"
86318,"carroll county, maryland"
86390,"cecil county, maryland"
86462,"charles county, maryland"
86750,"harford county, maryland"
86822,"howard county, maryland"
87110,"queen anne's county, maryland"
87254,"somerset county, maryland"
87326,"talbot county, maryland"
87686,"barnstable county, massachusetts"
87902,"dukes county, massachusetts"
88046,"franklin county, massachusetts"
88118,"hampden county, massachusetts"
88190,"hampshire county, massachusetts"
88334,"nantucket county, massachusetts"
88406,"norfolk county, massachusetts"
93086,"newaygo county, michigan"
101366,"calhoun county, mississippi"
101438,"carroll county, mississippi"
101510,"chickasaw county, mississippi"
101582,"choctaw county, mississippi"
101726,"clarke county, mississippi"
102446,"grenada county, mississippi"
102806,"humphreys county, mississippi"
102950,"itawamba county, mississippi"
103094,"jasper county, mississippi"
104390,"montgomery county, mississippi"
104534,"newton county, mississippi"
104606,"noxubee county, mississippi"
105110,"prentiss county, mississippi"
105182,"quitman county, mississippi"
105398,"sharkey county, mississippi"
105542,"smith county, mississippi"
105614,"stone county, mississippi"
105758,"tallahatchie county, mississippi"
105902,"tippah county, mississippi"
106046,"tunica county, mississippi"
106190,"walthall county, mississippi"
106406,"wayne county, mississippi"
106478,"webster county, mississippi"
106550,"wilkinson county, mississippi"
106622,"winston county, mississippi"
108854,"dade county, missouri"
109862,"hickory county, missouri"
115982,"fallon county, montana"
116414,"golden valley county, montana"
117566,"petroleum county, montana"
118358,"sheridan county, montana"
118790,"treasure county, montana"
119438,"blaine county, nebraska"
120230,"cherry county, nebraska"
120302,"cheyenne county, nebraska"
122174,"hayes county, nebraska"
124910,"sheridan county, nebraska"
126998,"carson city, nevada"
127070,"belknap county, new hampshire"
127142,"carroll county, new hampshire"
127214,"cheshire county, new hampshire"
127286,"coos county, new hampshire"
127358,"grafton county, new hampshire"
127430,"hillsborough county, new hampshire"
127502,"merrimack county, new hampshire"
127574,"rockingham county, new hampshire"
127646,"strafford county, new hampshire"
127718,"sullivan county, new hampshire"
127790,"atlantic county, new jersey"
127862,"bergen county, new jersey"
127934,"burlington county, new jersey"
128006,"camden county, new jersey"
128078,"cape may county, new jersey"
128150,"cumberland county, new jersey"
128222,"essex county, new jersey"
128294,"gloucester county, new jersey"
128366,"hudson county, new jersey"
128438,"hunterdon county, new jersey"
128510,"mercer county, new jersey"
128582,"middlesex county, new jersey"
128654,"monmouth county, new jersey"
128726,"morris county, new jersey"
128798,"ocean county, new jersey"
128870,"passaic county, new jersey"
128942,"salem county, new jersey"
129014,"somerset county, new jersey"
129086,"sussex county, new jersey"
129158,"union county, new jersey"
129230,"warren county, new jersey"
129302,"bernalillo county, new mexico"
129374,"catron county, new mexico"
129446,"chaves county, new mexico"
129518,"cibola county, new mexico"
129590,"colfax county, new mexico"
129662,"curry county, new mexico"
129734,"de baca county, new mexico"
129806,"doña ana county, new mexico"
129878,"eddy county, new mexico"
129950,"grant county, new mexico"
130022,"guadalupe county, new mexico"
130094,"harding county, new mexico"
130166,"hidalgo county, new mexico"
130238,"lea county, new mexico"
130310,"lincoln county, new mexico"
130382,"los alamos county, new mexico"
130454,"luna county, new mexico"
130526,"mckinley county, new mexico"
130598,"mora county, new mexico"
130670,"otero county, new mexico"
130742,"quay county, new mexico"
130814,"rio arriba county, new mexico"
130886,"roosevelt county, new mexico"
130958,"sandoval county, new mexico"
131030,"san juan county, new mexico"
131102,"san miguel county, new mexico"
131174,"santa fe county, new mexico"
131246,"sierra county, new mexico"
131318,"socorro county, new mexico"
131390,"taos county, new mexico"
131462,"torrance county, new mexico"
131534,"union county, new mexico"
131606,"valencia county, new mexico"
132614,"dutchess county, new york"
133190,"herkimer county, new york"
136430,"ashe county, north carolina"
136574,"beaufort county, north carolina"
136646,"bertie county, north carolina"
136790,"brunswick county, north carolina"
137078,"caldwell county, north carolina"
137582,"chowan county, north carolina"
137654,"clay county, north carolina"
137726,"cleveland county, north carolina"
137798,"columbus county, north carolina"
137870,"craven county, north carolina"
138014,"currituck county, north carolina"
138086,"dare county, north carolina"
138158,"davidson county, north carolina"
138302,"duplin county, north carolina"
138590,"franklin county, north carolina"
138734,"gates county, north carolina"
138806,"graham county, north carolina"
138878,"granville county, north carolina"
139166,"harnett county, north carolina"
139238,"haywood county, north carolina"
139454,"hoke county, north carolina"
139598,"iredell county, north carolina"
139670,"jackson county, north carolina"
139814,"jones county, north carolina"
139958,"lenoir county, north carolina"
140174,"macon county, north carolina"
140318,"martin county, north carolina"
140462,"mitchell county, north carolina"
140678,"nash county, north carolina"
140822,"northampton county, north carolina"
140966,"orange county, north carolina"
141038,"pamlico county, north carolina"
141110,"pasquotank county, north carolina"
141182,"pender county, north carolina"
141254,"perquimans county, north carolina"
141326,"person county, north carolina"
141470,"polk county, north carolina"
141542,"randolph county, north carolina"
141614,"richmond county, north carolina"
141902,"rutherford county, north carolina"
141974,"sampson county, north carolina"
142118,"stanly county, north carolina"
142262,"surry county, north carolina"
142334,"swain county, north carolina"
142406,"transylvania county, north carolina"
142478,"tyrrell county, north carolina"
142766,"warren county, north carolina"
142838,"washington county, north carolina"
142910,"watauga county, north carolina"
142982,"wayne county, north carolina"
143054,"wilkes county, north carolina"
143126,"wilson county, north carolina"
143198,"yadkin county, north carolina"
143270,"yancey county, north carolina"
145214,"mckenzie county, north dakota"
146294,"sheridan county, north dakota"
148022,"clermont county, ohio"
153494,"adair county, oklahoma"
153566,"alfalfa county, oklahoma"
153638,"atoka county, oklahoma"
153710,"beaver county, oklahoma"
153782,"beckham county, oklahoma"
153854,"blaine county, oklahoma"
153926,"bryan county, oklahoma"
153998,"caddo county, oklahoma"
154070,"canadian county, oklahoma"
154142,"carter county, oklahoma"
154214,"cherokee county, oklahoma"
154286,"choctaw county, oklahoma"
154358,"cimarron county, oklahoma"
154430,"cleveland county, oklahoma"
154502,"coal county, oklahoma"
154574,"comanche county, oklahoma"
154646,"cotton county, oklahoma"
154718,"craig county, oklahoma"
154790,"creek county, oklahoma"
154862,"custer county, oklahoma"
154934,"delaware county, oklahoma"
155006,"dewey county, oklahoma"
155078,"ellis county, oklahoma"
155150,"garfield county, oklahoma"
